Here is the full list of updated values for all strands from workforce.teacher_retention_data to be used for updating workforce.trend_identification:

Year | Strand ID | Teachers Count | Students Count | Max Class Size | Salary Ratio | Professional Dev Hours | Historical Resignations | Historical Retentions | Workload Per Teacher
-----|-----------|----------------|----------------|----------------|--------------|------------------------|-------------------------|-----------------------|----------------------
2016 | 1         | 8              | 320            | 45             | 1.00         | 18.00                  | 0                       | 8                     | 40.00
2016 | 2         | 6              | 280            | 45             | 1.11         | 14.00                  | 0                       | 6                     | 40.00
2016 | 3         | 7              | 320            | 45             | 1.08         | 24.00                  | 0                       | 7                     | 40.00
2016 | 4         | 5              | 200            | 45             | 1.09         | 23.00                  | 0                       | 5                     | 40.00
2016 | 5         | 5              | 160            | 45             | 1.11         | 14.00                  | 0                       | 5                     | 40.00
2017 | 1         | 8              | 360            | 45             | 1.15         | 21.00                  | 0                       | 8                     | 40.00
2017 | 2         | 7              | 320            | 45             | 1.20         | 13.00                  | 0                       | 7                     | 40.00
2017 | 3         | 8              | 340            | 45             | 1.01         | 12.00                  | 11                      | 7                     | 40.00
2017 | 4         | 6              | 240            | 45             | 1.20         | 16.00                  | 0                       | 6                     | 40.00
2017 | 5         | 6              | 200            | 45             | 1.17         | 22.00                  | 0                       | 6                     | 40.00
2018 | 1         | 9              | 400            | 45             | 1.18         | 21.00                  | 0                       | 9                     | 40.00
2018 | 2         | 8              | 360            | 45             | 1.05         | 15.00                  | 0                       | 8                     | 40.00
2018 | 3         | 9              | 360            | 45             | 1.11         | 20.00                  | 11                      | 8                     | 40.00
2018 | 4         | 7              | 280            | 45             | 1.10         | 24.00                  | 0                       | 7                     | 40.00
2018 | 5         | 7              | 240            | 45             | 1.17         | 16.00                  | 0                       | 7                     | 39.00
2019 | 1         | 10             | 440            | 45             | 1.06         | 23.00                  | 0                       | 10                    | 40.00
2019 | 2         | 8              | 400            | 45             | 1.00         | 15.00                  | 0                       | 8                     | 40.00
2019 | 3         | 10             | 380            | 45             | 1.11         | 19.00                  | 0                       | 10                    | 40.00
2019 | 4         | 7              | 320            | 45             | 1.03         | 18.00                  | 77                      | 7                     | 40.00
2019 | 5         | 8              | 280            | 45             | 1.13         | 17.00                  | 11                      | 7                     | 40.00
2020 | 1         | 10             | 480            | 45             | 1.08         | 18.00                  | 11                      | 9                     | 40.00
2020 | 2         | 8              | 440            | 45             | 1.19         | 10.00                  | 11                      | 7                     | 40.00
2020 | 3         | 11             | 400            | 45             | 1.07         | 14.00                  | 0                       | 11                    | 40.00
2020 | 4         | 8              | 360            | 45             | 1.14         | 14.00                  | 11                      | 7                     | 40.00
2020 | 5         | 8              | 320            | 45             | 1.14         | 16.00                  | 0                       | 8                     | 40.00
2021 | 1         | 12             | 520            | 45             | 1.00         | 11.00                  | 22                      | 10                    | 40.00
2021 | 2         | 9              | 480            | 45             | 1.18         | 24.00                  | 11                      | 8                     | 40.00
2021 | 3         | 11             | 420            | 45             | 1.09         | 20.00                  | 11                      | 10                    | 40.00
2021 | 4         | 9              | 400            | 45             | 1.02         | 18.00                  | 11                      | 8                     | 40.00
2021 | 5         | 8              | 360            | 45             | 1.08         | 20.00                  | 0                       | 8                     | 40.00
2022 | 1         | 12             | 560            | 45             | 1.03         | 12.00                  | 0                       | 12                    | 40.00
2022 | 2         | 9              | 520            | 45             | 1.10         | 15.00                  | 0                       | 9                     | 40.00
2022 | 3         | 11             | 440            | 45             | 1.11         | 17.00                  | 11                      | 11                    | 40.00
2022 | 4         | 10             | 440            | 45             | 1.02         | 11.00                  | 0                       | 10                    | 40.00
2022 | 5         | 8              | 400            | 45             | 1.18         | 21.00                  | 11                      | 7                     | 40.00
2023 | 1         | 12             | 600            | 45             | 1.09         | 21.00                  | 0                       | 12                    | 40.00
2023 | 2         | 9              | 560            | 45             | 1.06         | 14.00                  | 11                      | 8                     | 40.00
2023 | 3         | 12             | 460            | 45             | 1.01         | 23.00                  | 0                       | 12                    | 40.00
2023 | 4         | 11             | 480            | 45             | 1.15         | 12.00                  | 11                      | 10                    | 40.00
2023 | 5         | 9              | 440            | 45             | 1.18         | 23.00                  | 11                      | 8                     | 40.00
2024 | 1         | 13             | 640            | 45             | 1.11         | 18.00                  | 11                      | 12                    | 40.00
2024 | 2         | 10             | 600            | 45             | 1.12         | 21.00                  | 0                       | 10                    | 40.00
2024 | 3         | 12             | 480            | 45             | 1.04         | 23.00                  | 0                       | 12                    | 40.00
2024 | 4         | 11             | 520            | 45             | 1.18         | 17.00                  | 11                      | 10                    | 40.00
2024 | 5         | 10             | 480            | 45             | 1.13         | 24.00                  | 11                      | 9                     | 40.00

You can use these values to update the corresponding rows in workforce.trend_identification table.
